"id","codbarras","nome","preco_venda"
57255,"572552",ETIQUETA PRECO MULTI USO 50X30 1320,"6,5"
57256,"7894970490007",PASTA MALOTE GOODIE 285X180,"21,9"
57257,"7908010133073",BRINQ.GROW QUEBRA-CABECA BATMAN 250,"57,9"
57258,"7908010133523",BRINQ.QUEBRA-CABECA PATRULHA 60PÇS,"43,5"
57259,"7908010121643",BRINQ.QUEBRA-CABECA PRINCESAS 150PÇ,"47,5"
57260,"7897143013126",RELOGIO PAREDE BELLS CALMA Q DA TEM,"39,9"
57261,"7897143013201",RELOGIO PAREDE BELLS VOLTA AO MUNDO,"39,9"
57262,"7898157441035",CAIXA ISOPOR KNAUF 5L,"8,9"
57263,"7891035285158",VEJA MULTIUSO CAMPESTRE 10% 500ML,"4,95"
57264,"7896324284478",BISC.MOSMANN 25G PRO AMEND/CHOCOLAT,"2,3"
57266,"7896324272161",BISC.MOSMANN 100G ERVAS FINAS SL SG,"10,95"
57267,"7896324272123",BISC.MOSMANN 100G CASEIRO GOIABA SG,"10,95"
57268,"7896324272147",BISC.MOSMANN CAS.AMEDOIM S/G 100GR,"10,95"
57269,"7891000250174",CALDO MAGGI GALINHA 57GR,"1,99"
57270,"7898646130051",SUCO DO BEM LARANJA 1LT,"4,99"
57271,"7898193140015",LUBRIFICANTE WD40 300ML,"28,9"
57272,"070330717534",APA.BARBEAR BIC COMFORT 3 C/1,"3,95"
57273,"7894650013083",DESOD.SANI.PATO GELADES.R.MARI GRAT,"15,95"
57274,"7891330016341",CHOC.BIBS YOGURT 65GR,"3,39"
57275,"7891330016334",CHOC.BIBS 40%CACAU FLOCOS 65GR,"3,39"
57276,"7891330016457",CHOC.NEUGEBAUER STIKADINHO 61.5GR,"3,99"
57277,"7891330016518",CHOC.NEUGEBAUER REFEICAO 45GR,"3,59"
57278,"7891110071904",DOCE LEITE MU-MU CHOCOLATE 400GR,"5,99"
57280,"7894321220024",FARELO AVEIA QUAKER OAT BRAN 200GR,"6,99"
57281,"7891035285172",VEJA MULTI-USO LAVANDA ALCOOL 500ML,"4,95"
57282,"7891035524790",PASTILHA SANIT.HARPIC LAVANDA 20%,"6,95"
57283,"7896200052344",SALG.ZEZE BATATA ONDULADA 40GR,"2,99"
57284,"7898320023099",LIMPA VIDRO DENGO DESENBAÇADOR 5LT,"28,95"
57285,"7898320021132",DESINF.DENGO SOFT 5LT,"15,95"
57286,"7898320021040",DESINF.DENGO FLASH 5LT,"14,95"
